Company,Model,Varient,Year,Price,Kms_driven,Fuel_type,Transmission,Ownership,OwnershipLE,Rating,State,Car_Age,Kms_Bucket,Price_log,Kms_driven_log
Hyundai,GRAND,,2021,546000,81730,CNG,Manual,1st owner,1,CARS24 Assured,Ghaziabad,4,High,13.210376086227196,11.311188645844599
Maruti,Swift,ZDI,2013,411000,110000,Diesel,Manual,2nd owner,2,CARS24 Assured,Chennai,12,Very High,12.926350926565435,11.608244735642321
Honda,WR-V,1.2L I-VTEC VX MT,2018,555000,40500,Petrol,Manual,2nd owner,2,CARS24 Assured,Garden,7,Medium,13.22672519452875,10.609081944147828
Tata,NEXON,XM PETROL,2017,497000,40290,Petrol,Manual,1st owner,1,Verified Owner,Diu,8,Medium,13.116347317149176,10.603883397931984
Hyundai,Creta,S 1.6 PETROL,2016,539000,60890,Petrol,Manual,1st owner,1,CARS24 Assured,Agra,9,High,13.197472705176983,11.016840659525736
Hyundai,Verna,FLUIDIC 1.6 CRDI EX,2012,255000,120000,Diesel,Manual,1st owner,1,Verified Owner,Rajasthan,13,Very High,12.449022745701502,11.695255355062795
Honda,Amaze,1.2L I-VTEC V,2019,596000,53820,Petrol,Manual,1st owner,1,CARS24 Assured,Bengaluru,6,High,13.297997623898429,10.893419004561645
Volkswagen,Polo,,2021,520000,40830,Petrol,Manual,1st owner,1,CARS24 Assured,Ahmedabad,4,Medium,13.161586013632684,10.61719687580895
Hyundai,Grand,,2014,250000,13700,Petrol,Manual,1st owner,1,Verified Owner,Pradesh,11,Low,12.429220196836383,9.525224101853109
Renault,Kwid,RXL,2018,407000,9760,Petrol,Manual,1st owner,1,Verified Owner,Haryana,7,Low,12.91657092142417,9.186150133174966
Honda,ELEVATE,ZX MT,2023,1517000,9070,Petrol,Manual,1st owner,1,CARS24 Assured,Mumbai,2,Low,14.232245917526233,9.112837790614945
Hyundai,Elite,ASTA 1.2,2018,485000,68100,Petrol,Manual,1st owner,1,Verified Dealer,Raipur,7,High,13.091906231773164,11.128747176317603
Ford,Ecosport,TREND + 1.5L PETROL AT,2018,602000,26960,Petrol,Auto,1st owner,1,CARS24 Assured,Patna,7,Medium,13.308014385419147,10.202146656326484
Hyundai,Elite,,2017,322000,110000,Diesel,Manual,2nd owner,2,Verified Owner,Haryana,8,Very High,12.682309930111785,11.608244735642321
Hyundai,VENUE,SX 1.0 TURBO,2019,648000,78720,Petrol,Manual,1st owner,1,CARS24 Assured,Delhi,6,High,13.381647518543097,11.273665234897482
Hyundai,i10,MAGNA 1.2,2012,193000,120000,Petrol,Manual,1st owner,1,CARS24 Assured,Kochi,13,Very High,12.170450649220749,11.695255355062795
Tata,ALTROZ,XE PETROL,2021,480000,71440,Petrol,Manual,1st owner,1,Verified Owner,Maharashtra,4,High,13.081543466215237,11.176627213212772
Maruti,Ertiga,VDI SHVS,2016,865000,110000,Diesel,Manual,2nd owner,2,Verified Owner,Maharashtra,9,Very High,13.670485941982712,11.608244735642321
Hyundai,Eon,MAGNA + AIRBAG,2017,329000,51460,Petrol,Manual,1st owner,1,CARS24 Assured,Yeswanthpur,8,High,12.703816069256568,10.84857951821591
Hyundai,Creta,EX 1.5 PETROL,2020,747000,37800,Petrol,Manual,2nd owner,2,Verified Owner,Rajasthan,5,Medium,13.523821802802145,10.540090836284206
Hyundai,Grand,,2015,345000,44410,Petrol,Manual,1st owner,1,CARS24 Assured,Gurugram,10,Medium,12.75130259456002,10.70124246548366
Maruti,Wagon,VXI,2014,410000,110000,Petrol,Manual,1st owner,1,Verified Owner,Kerala,11,Very High,12.923914877701906,11.608244735642321
Maruti,Celerio,VXI AMT,2014,332000,88210,Petrol,Auto,1st owner,1,CARS24 Assured,Bengaluru,11,High,12.712893259942282,11.387486950771708
Tata,Tiago,XT PETROL,2022,462000,44510,Petrol,Manual,1st owner,1,CARS24 Assured,Gurugram,3,Medium,13.043322334563697,10.703491628618904
Hyundai,i10,MAGNA 1.2,2011,166000,71110,Petrol,Manual,2nd owner,2,Verified Owner,Bharuch,14,High,12.019749091416921,11.171997315498414
Maruti,Baleno,SIGMA PETROL 1.2,2018,460000,58570,Petrol,Manual,2nd owner,2,Verified Owner,Haryana,7,High,13.038983942375959,10.977994972525236
Honda,Amaze,1.2L I-VTEC S,2019,472000,39960,Petrol,Manual,2nd owner,2,Verified Owner,Pradesh,6,Medium,13.064736383209516,10.595659257474393
Hyundai,Eon,ERA +,2018,215000,99800,Petrol,Manual,2nd owner,2,CARS24 Assured,Hyderabad,7,High,12.278397958261774,11.510933482289435
Renault,TRIBER,RXZ,2022,734000,38770,CNG,Manual,1st owner,1,CARS24 Assured,Kochi,3,Medium,13.506265669993544,10.565427823471362
Honda,Amaze,1.5L I-DTEC S,2015,348000,100000,Diesel,Manual,2nd owner,2,Verified Owner,Karnataka,10,High,12.759960632315702,11.51293546492023
Tata,PUNCH,,2023,739000,17820,Petrol,Auto,1st owner,1,CARS24 Assured,Nagar,2,Low,13.513054553109397,9.7881328161731
KIA,SELTOS,HTK 1.5 PETROL,2020,696000,49210,Petrol,Manual,1st owner,1,CARS24 Assured,Lucknow,5,Medium,13.453106376097134,10.803872454726505
Maruti,Ertiga,ZXI+ SHVS,2021,1060000,3040,Petrol,Manual,1st owner,1,Verified Dealer,Bhubaneswar,4,Low,13.87378040948403,8.019941687677365
Mahindra,Thar,LX PETROL HT 4WD AT,2021,1619000,15650,Petrol,Auto,2nd owner,2,Verified Owner,Bihar,4,Low,14.297319850324806,9.658290091690503
Honda,WR-V,1.2L I-VTEC VX MT,2017,548000,33240,Petrol,Manual,1st owner,1,CARS24 Assured,Mumbai,8,Medium,13.214032390746006,10.411539332752723
Maruti,Ertiga,VDI,2013,675000,83250,Diesel,Manual,1st owner,1,Verified Dealer,Nashik,12,High,13.42246945133505,11.32961541978256
Honda,City,1.5L I-DTEC V,2015,310000,190000,Diesel,Manual,1st owner,1,Verified Owner,Mathura,10,Very High,12.644330802262578,12.154784614286667
Hyundai,Grand,,2016,325000,47120,Petrol,Manual,1st owner,1,Verified Owner,Allampatti,9,Medium,12.691583538230217,10.760474040511141
Renault,TRIBER,RXZ AMT,2020,525000,24590,Petrol,Auto,2nd owner,2,CARS24 Assured,Ghaziabad,5,Medium,13.171155446333852,10.11013580132114
Hyundai,Creta,S 1.4 DIESEL,2017,706000,120000,Diesel,Manual,1st owner,1,CARS24 Assured,Vadapalani,8,Very High,13.467371932904971,11.695255355062795
Tata,NEXON,XZ PETROL,2019,700000,72770,Petrol,Manual,1st owner,1,Verified Owner,Thiruvananthapuram,6,High,13.45883704259595,11.19507280317333
Honda,City,1.5L I-DTEC V,2015,428000,150000,Diesel,Manual,2nd owner,2,Verified Owner,Karnataka,10,Very High,12.966880811009803,11.918397239722838
Hyundai,Elite,,2015,283000,72990,Petrol,Manual,3rd owner,3,Verified Owner,Jharkhand,10,High,12.553205710188037,11.198091424858745
Volkswagen,Ameo,,2016,474000,28310,Petrol,Manual,2nd owner,2,CARS24 Assured,Bengaluru,9,Medium,13.06896471037963,10.251005700689444
Hyundai,Grand,ASTA AT 1.2 KAPPA VTVT,2016,414000,75510,CNG,Auto,2nd owner,2,CARS24 Assured,Ahmedabad,9,High,12.933623668263472,11.232033619988815
Renault,Kwid,CLIMBER 1.0 AMT,2017,290000,66040,Petrol,Auto,3rd owner,3,CARS24 Assured,Vadapalani,8,High,12.577639650232573,11.098031040257398
Maruti,New,,2020,376000,47440,Petrol,Manual,2nd owner,2,Verified Owner,Ambikapur,5,Medium,12.837347081942964,10.767242112707454
Renault,Kwid,RXT 1.0,2017,229000,89360,Petrol,Manual,2nd owner,2,CARS24 Assured,Kochi,8,High,12.34148164933907,11.400439624369813
Tata,NEXON,XM PLUS SUNROOF PETROL,2023,728000,15760,Petrol,Manual,1st owner,1,Verified Owner,Fatehabad,2,Low,13.498057700804253,9.665293813175541
