Brand,Model,Price,Kms_driven,Fuel_type,Transmission,Ownership,Rating,State
2023 Tata PUNCH,,₹7.62 lakh,32.74k km,Petrol,Auto,2nd owner,Verified Owner,Mayur Vihar Mathura Uttar Pradesh
2015 Ford Ecosport,TITANIUM 1.5L PETROL AT,₹4.75 lakh,98.54k km,Petrol,Auto,1st owner,CARS24 Assured,"Gaur City mall, Multilevel parking, Greater Noida"
2019 Mahindra XUV300,W6 1.2 PETROL,₹6.09 lakh,48.58k km,Petrol,Manual,1st owner,CARS24 Assured,"Kakkanad, Kochi"
2016 Honda Jazz,1.2L I-VTEC V AT,₹5.10 lakh,70.83k km,Petrol,Auto,1st owner,CARS24 Assured,"Nexus Vijaya Mall, Vadapalani"
2023 KIA CARENS,PRESTIGE PLUS 1.5 TURBO PETROL IMT 7 STR,₹14.75 lakh,12.40k km,Petrol,Manual,2nd owner,CARS24 Assured,"Newtown, Kolkata"
2015 Ford Ecosport,,₹4.08 lakh,94.60k km,Diesel,Manual,2nd owner,CARS24 Assured,"Sachin Magdalla Road, Surat"
2019 Maruti Swift,LXI,₹4.38 lakh,68.11k km,Petrol,Manual,1st owner,CARS24 Assured,"Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2021 Mahindra Thar,LX HT PETROL 4WD MT,₹7.00 lakh,44.20k km,Petrol,Manual,1st owner,Verified Owner,Chandra Nagar Itanagar
2020 Tata NEXON,XZ PLUS PETROL,₹6.66 lakh,26.24k km,Petrol,Manual,1st owner,CARS24 Assured,"Naroda, Ahmedabad"
2023 Mahindra Thar,LX HT PETROL 4WD MT,₹10.95 lakh,18.85k km,Petrol,Manual,2nd owner,CARS24 Assured,"CARS24 Network, Sec-11 Faridabad"
2019 Tata NEXON,KRAZ MT PETROL,₹5.49 lakh,60.95k km,Petrol,Manual,1st owner,Verified Owner,Gordhanpura Kota Rajasthan
2017 Volkswagen Ameo,,₹4.24 lakh,32.09k km,Petrol,Manual,1st owner,CARS24 Assured,"Karnavati Club, Ahmedabad"
2017 Maruti Wagon R 1.0,VXI,₹3.13 lakh,47.63k km,Petrol,Manual,1st owner,Verified Owner,Kabilpore Navsari Gujarat
2015 Ford Ecosport,TITANIUM 1.5L PETROL AT,₹4.50 lakh,45.73k km,Petrol,Auto,1st owner,CARS24 Assured,"Gaur City mall, Multilevel parking, Greater Noida"
2021 Maruti Dzire,VXI,₹5.72 lakh,71.71k km,Petrol,Manual,1st owner,CARS24 Assured,"Mulund West, Mumbai"
2012 Ford Figo,TITANIUM 1.4 DIESEL,₹1.65 lakh,1.0L km,Diesel,Manual,2nd owner,Verified Owner,Gulab Sagar Jodhpur Rajasthan
2013 Hyundai i10,SPORTZ 1.1,₹2.79 lakh,35.65k km,Petrol,Manual,2nd owner,Verified Owner,Vidya Nagar Rajahmundry
2015 Honda Jazz,1.2L I-VTEC V AT,₹2.25 lakh,88.08k km,Petrol,Auto,2nd owner,Verified Owner,Amritsar Miran Kot Khurd Punjab
2019 Renault Kwid,RXL,₹2.13 lakh,51.02k km,Petrol,Manual,2nd owner,CARS24 Assured,"Sector-18, Noida"
2021 Tata TIGOR,XZA PLUS PETROL,₹6.29 lakh,39.48k km,Petrol,Auto,1st owner,CARS24 Assured,"Singanallur, Coimbatore"
2015 Maruti Ciaz,VDI +,₹4.31 lakh,1.4L km,Diesel,Manual,1st owner,Verified Owner,Thatipur Gwalior
2019 Renault Kwid,CLIMBER 1.0 AMT,₹3.45 lakh,27.98k km,Petrol,Auto,2nd owner,CARS24 Assured,"Thiruverkadu, Chennai"
2016 Hyundai Grand i10,ASTA (O) 1.2 KAPPA VTVT,₹4.42 lakh,38.27k km,Petrol,Manual,1st owner,CARS24 Assured,"Amanora Mall apex building, Pune"
2022 Tata Tiago,XT CNG,₹5.24 lakh,49.26k km,CNG,Manual,1st owner,CARS24 Assured,"Himalaya Mall, Ahmedabad"
2023 Maruti Baleno,DELTA PETROL 1.2,₹6.08 lakh,29.39k km,Petrol,Manual,1st owner,CARS24 Assured,"Metro Walk, Rohini, New Delhi"
2014 Hyundai i10,MAGNA 1.1,₹2.33 lakh,80.59k km,Petrol,Manual,3rd owner,Verified Owner,Shyam Vihar Mehsana
